,date,price_usd
435,2021-03-12,65.59
436,2021-03-13,65.59
437,2021-03-14,65.59
438,2021-03-15,65.36
439,2021-03-16,64.82
440,2021-03-17,64.55
441,2021-03-18,59.95
442,2021-03-19,61.43
443,2021-03-20,61.43
444,2021-03-21,61.43
445,2021-03-22,61.48
446,2021-03-23,57.75
447,2021-03-24,61.12
448,2021-03-25,58.47
449,2021-03-26,60.93
450,2021-03-27,60.93
451,2021-03-28,60.93
452,2021-03-29,61.49
453,2021-03-30,60.55
454,2021-03-31,59.19
455,2021-04-01,61.41
456,2021-04-02,61.41
457,2021-04-03,61.41
458,2021-04-04,61.41
459,2021-04-05,58.73
460,2021-04-06,59.34
461,2021-04-07,59.77
462,2021-04-08,59.61
463,2021-04-09,59.29
464,2021-04-10,59.29
465,2021-04-11,59.29
466,2021-04-12,59.7
467,2021-04-13,60.2
468,2021-04-14,63.15
469,2021-04-15,63.42
470,2021-04-16,63.16
471,2021-04-17,63.16
472,2021-04-18,63.16
473,2021-04-19,63.33
474,2021-04-20,62.61
475,2021-04-21,61.34
476,2021-04-22,61.45
477,2021-04-23,62.18
478,2021-04-24,62.18
479,2021-04-25,62.18
480,2021-04-26,62.02
481,2021-04-27,63.03
482,2021-04-28,63.81
483,2021-04-29,65.0
484,2021-04-30,63.5
485,2021-05-01,63.5
486,2021-05-02,63.5
487,2021-05-03,64.46
488,2021-05-04,65.72
489,2021-05-05,65.63
490,2021-05-06,64.73
491,2021-05-07,64.96
492,2021-05-08,64.96
493,2021-05-09,64.96
494,2021-05-10,64.92
495,2021-05-11,65.31
496,2021-05-12,65.96
497,2021-05-13,63.82
498,2021-05-14,65.32
499,2021-05-15,65.32
500,2021-05-16,65.32
501,2021-05-17,66.24
502,2021-05-18,65.49
503,2021-05-19,63.28
504,2021-05-20,61.95
505,2021-05-21,63.61
506,2021-05-22,63.61
507,2021-05-23,63.61
508,2021-05-24,66.13
509,2021-05-25,66.27
510,2021-05-26,66.41
511,2021-05-27,66.87
512,2021-05-28,66.31
513,2021-05-29,66.31
514,2021-05-30,66.31
515,2021-05-31,66.31
516,2021-06-01,67.8
517,2021-06-02,68.79
518,2021-06-03,68.81
519,2021-06-04,69.57
520,2021-06-05,69.57
521,2021-06-06,69.57
522,2021-06-07,69.21
523,2021-06-08,70.11
524,2021-06-09,69.9
525,2021-06-10,70.34
526,2021-06-11,71.0
527,2021-06-12,71.0
528,2021-06-13,71.0
529,2021-06-14,70.94
530,2021-06-15,72.06
531,2021-06-16,72.03
532,2021-06-17,71.06
533,2021-06-18,71.64
534,2021-06-19,71.64
535,2021-06-20,71.64
536,2021-06-21,73.64
537,2021-06-22,73.15
538,2021-06-23,73.11
539,2021-06-24,73.31
540,2021-06-25,74.21
541,2021-06-26,74.21
542,2021-06-27,74.21
543,2021-06-28,72.98
544,2021-06-29,73.14
545,2021-06-30,73.52
546,2021-07-01,75.33
547,2021-07-02,75.37
548,2021-07-03,75.37
549,2021-07-04,75.37
550,2021-07-05,75.37
551,2021-07-06,73.62
552,2021-07-07,72.22
553,2021-07-08,72.98
554,2021-07-09,74.56
555,2021-07-10,74.56
556,2021-07-11,74.56
557,2021-07-12,74.21
558,2021-07-13,75.24
559,2021-07-14,73.06
560,2021-07-15,71.67
561,2021-07-16,71.76
562,2021-07-17,71.76
563,2021-07-18,71.76
564,2021-07-19,66.45
565,2021-07-20,67.32
566,2021-07-21,70.26
567,2021-07-22,72.15
568,2021-07-23,72.24
569,2021-07-24,72.24
570,2021-07-25,72.24
571,2021-07-26,72.15
572,2021-07-27,71.68
573,2021-07-28,72.37
574,2021-07-29,73.62
575,2021-07-30,73.93
576,2021-07-31,73.93
577,2021-08-01,73.93
578,2021-08-02,71.31
579,2021-08-03,70.64
580,2021-08-04,68.19
581,2021-08-05,69.1
582,2021-08-06,68.26
583,2021-08-07,68.26
584,2021-08-08,68.26
585,2021-08-09,66.56
586,2021-08-10,68.33
587,2021-08-11,69.3
588,2021-08-12,69.12
589,2021-08-13,68.36
590,2021-08-14,68.36
591,2021-08-15,68.36
592,2021-08-16,67.44
593,2021-08-17,66.5
594,2021-08-18,65.36
595,2021-08-19,63.69
596,2021-08-20,62.25
597,2021-08-21,62.25
598,2021-08-22,62.25
599,2021-08-23,65.65
600,2021-08-24,67.5
601,2021-08-25,68.54
602,2021-08-26,67.42
603,2021-08-27,68.84
604,2021-08-28,68.84
605,2021-08-29,68.84
606,2021-08-30,69.28
607,2021-08-31,68.43
608,2021-09-01,68.63
609,2021-09-02,70.07
610,2021-09-03,69.34
611,2021-09-04,69.34
612,2021-09-05,69.34
613,2021-09-06,69.34
614,2021-09-07,68.49
615,2021-09-08,69.36
616,2021-09-09,68.26
617,2021-09-10,69.82
618,2021-09-11,69.82
619,2021-09-12,69.82
620,2021-09-13,70.54
621,2021-09-14,70.53
622,2021-09-15,72.59
623,2021-09-16,72.69
624,2021-09-17,72.09
625,2021-09-18,72.09
626,2021-09-19,72.09
627,2021-09-20,70.41
628,2021-09-21,70.51
629,2021-09-22,72.37
630,2021-09-23,73.43
631,2021-09-24,74.18
632,2021-09-25,74.18
633,2021-09-26,74.18
634,2021-09-27,75.54
635,2021-09-28,75.44
636,2021-09-29,75.06
637,2021-09-30,75.22
638,2021-10-01,76.01
639,2021-10-02,76.01
640,2021-10-03,76.01
641,2021-10-04,77.68
642,2021-10-05,79.17
643,2021-10-06,77.66
644,2021-10-07,78.46
645,2021-10-08,79.55
646,2021-10-09,79.55
647,2021-10-10,79.55
648,2021-10-11,80.64
649,2021-10-12,80.75
650,2021-10-13,80.67
651,2021-10-14,81.43
652,2021-10-15,82.39
653,2021-10-16,82.39
654,2021-10-17,82.39
655,2021-10-18,82.62
656,2021-10-19,83.19
657,2021-10-20,84.4
658,2021-10-21,82.64
659,2021-10-22,84.53
660,2021-10-23,84.53
661,2021-10-24,84.53
662,2021-10-25,84.64
663,2021-10-26,85.64
664,2021-10-27,82.66
665,2021-10-28,82.78
666,2021-10-29,83.5
667,2021-10-30,83.5
668,2021-10-31,83.5
669,2021-11-01,84.08
670,2021-11-02,83.91
671,2021-11-03,80.82
672,2021-11-04,78.88
673,2021-11-05,81.25
674,2021-11-06,81.25
675,2021-11-07,81.25
676,2021-11-08,81.96
677,2021-11-09,84.12
678,2021-11-10,81.23
679,2021-11-11,81.47
680,2021-11-12,80.87
681,2021-11-13,80.87
682,2021-11-14,80.87
683,2021-11-15,80.85
684,2021-11-16,80.76
685,2021-11-17,78.32
686,2021-11-18,78.92
687,2021-11-19,76.11
688,2021-11-20,76.11
689,2021-11-21,76.11
690,2021-11-22,76.74
691,2021-11-23,78.32
692,2021-11-24,78.32
693,2021-11-25,78.32
694,2021-11-26,78.32
695,2021-11-27,78.32
696,2021-11-28,78.32
697,2021-11-29,69.88
698,2021-11-30,66.14
699,2021-12-01,65.44
700,2021-12-02,66.6
701,2021-12-03,66.39
702,2021-12-04,66.39
703,2021-12-05,66.39
