,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag
739,Jamaica,JAM,1999,20.0,80.0,False,False,False
743,Jordan,JOR,2003,10.0,90.0,False,False,False
744,Jordan,JOR,2005,9.0,91.0,False,False,False
745,Jordan,JOR,2007,8.0,92.0,False,False,False
746,Jordan,JOR,2010,7.0,93.0,False,False,False
747,Jordan,JOR,2011,4.0,96.0,False,False,False
748,Jordan,JOR,2012,2.0,98.0,False,False,False
749,Jordan,JOR,2018,4.56855,95.43145,False,False,False
750,Jordan,JOR,2023,5.0,95.0,False,False,False
752,Kazakhstan,KAZ,1999,0.0,100.0,False,False,False
753,Kazakhstan,KAZ,2009,0.0,100.0,False,False,False
755,Kenya,KEN,2000,18.0,82.0,False,False,False
757,Kiribati,KIR,2018,2.0402908,97.95971,False,False,False
762,Kuwait,KWT,1995,22.0,78.0,False,False,False
763,Kuwait,KWT,2005,7.0,93.0,False,False,False
764,Kuwait,KWT,2006,7.0,93.0,False,False,False
765,Kuwait,KWT,2007,6.0,94.0,False,False,False
766,Kuwait,KWT,2008,6.0,94.0,False,False,False
767,Kuwait,KWT,2010,6.0,94.0,False,False,False
768,Kuwait,KWT,2012,4.0,96.0,False,False,False
