,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag
1076,Mexico,MEX,2016,5.0,95.0,False,False,False
1077,Mexico,MEX,2017,5.0,95.0,False,False,False
1078,Mexico,MEX,2018,5.0,95.0,False,False,False
1079,Mexico,MEX,2020,5.0,95.0,False,False,False
1180,Moldova,MDA,2000,3.0,97.0,False,False,False
1181,Moldova,MDA,2014,1.0,99.0,False,False,False
1184,Mongolia,MNG,2000,2.0,98.0,False,False,False
1185,Mongolia,MNG,2010,2.0,98.0,False,False,False
1186,Mongolia,MNG,2018,3.103653,96.89635,False,False,False
1187,Mongolia,MNG,2020,1.0,99.0,False,False,False
1188,Mongolia,MNG,2022,1.2737808,98.72622,False,False,False
1190,Montenegro,MNE,1991,7.0,93.0,False,False,False
1191,Montenegro,MNE,2003,2.0,98.0,False,False,False
1192,Montenegro,MNE,2011,2.0,98.0,False,False,False
1193,Montenegro,MNE,2018,1.4655991,98.5344,False,False,False
1196,Morocco,MAR,1994,58.0,42.0,False,False,False
1197,Morocco,MAR,2004,48.0,52.0,False,False,False
1198,Morocco,MAR,2008,45.0,55.0,False,False,False
1199,Morocco,MAR,2009,44.0,56.0,False,False,False
1200,Morocco,MAR,2011,33.0,67.0,False,False,False
1201,Morocco,MAR,2012,31.0,69.0,False,False,False
