,country,code,year,adult_literacy_rate,youth_literacy_rate_M,youth_literacy_rate_F,continent,invalid_literacy_flag,adult_literacy_rate_outlier_flag,youth_literacy_rate_M_outlier_flag,youth_literacy_rate_F_outlier_flag
185,Cambodia,KHM,2009,76.0,88.0,86.0,Asia,False,False,False,False
186,Cambodia,KHM,2010,77.0,80.6,78.02,Asia,False,False,False,False
187,Cambodia,KHM,2014,78.0,90.0,90.0,Asia,False,False,False,False
188,Cambodia,KHM,2015,81.0,92.0,93.0,Asia,False,False,False,False
189,Cambodia,KHM,2021,71.92725,90.30829,93.50569,Asia,False,False,False,False
191,Cameroon,CMR,2000,68.0,88.0,78.0,Africa,False,False,False,False
192,Cameroon,CMR,2004,69.0,81.39,67.65,Africa,False,False,False,False
193,Cameroon,CMR,2006,70.0,85.195,64.67,Africa,False,False,False,False
194,Cameroon,CMR,2007,71.0,89.0,77.0,Africa,False,False,False,False
195,Cameroon,CMR,2010,71.0,85.0,76.0,Africa,False,False,False,False
196,Cameroon,CMR,2011,71.51571,86.92,73.41,Africa,False,False,False,False
197,Cameroon,CMR,2014,72.03142,87.25849,100.0,Africa,False,False,False,False
198,Cameroon,CMR,2018,72.54713,87.59698,76.3945,Africa,False,False,False,False
199,Cape Verde,CPV,1990,63.0,90.0,86.0,Africa,False,False,False,False
200,Cape Verde,CPV,2012,85.0,98.0,98.0,Africa,False,False,False,False
201,Cape Verde,CPV,2015,87.0,98.0,99.0,Africa,False,False,False,False
202,Cayman Islands,CYM,2007,99.0,99.0,99.0,North America,False,False,False,False
205,Central African Republic,CAF,2000,51.0,73.0,49.0,Africa,False,False,False,True
206,Central African Republic,CAF,2006,48.147596666666665,70.30127333333333,21.51,Africa,False,False,True,True
207,Central African Republic,CAF,2010,45.29519333333334,67.60254666666667,27.63,Africa,False,False,True,True
208,Central African Republic,CAF,2019,42.44279,64.90382,36.67682,Africa,False,False,True,True
258,Chad,TCD,1993,11.0,26.0,9.0,Africa,False,True,True,True
259,Chad,TCD,2000,26.0,56.0,23.0,Africa,False,True,True,True
260,Chad,TCD,2004,28.0,54.0,31.0,Africa,False,True,True,True
261,Chad,TCD,2010,25.0,47.5,16.88,Africa,False,True,True,True
262,Chad,TCD,2016,22.0,41.0,22.0,Africa,False,True,True,True
263,Chad,TCD,2019,30.62792,56.26247,33.32039,Africa,False,True,True,True
265,Chile,CHL,1992,94.0,98.0,99.0,South America,False,False,False,False
266,Chile,CHL,2000,95.0,98.9,99.3,South America,False,False,False,False
267,Chile,CHL,2002,96.0,99.0,99.0,South America,False,False,False,False
268,Chile,CHL,2003,96.25,98.9,99.4,South America,False,False,False,False
269,Chile,CHL,2006,96.5,98.9,99.3,South America,False,False,False,False
270,Chile,CHL,2009,96.75,99.2,99.5,South America,False,False,False,False
271,Chile,CHL,2011,97.0,99.2,99.6,South America,False,False,False,False
272,Chile,CHL,2013,96.0,99.0,99.1,South America,False,False,False,False
273,Chile,CHL,2015,97.0,99.3,99.4,South America,False,False,False,False
274,Chile,CHL,2017,96.0,99.0,99.0,South America,False,False,False,False
275,Chile,CHL,2022,96.0,99.1,99.5,South America,False,False,False,False
277,China,CHN,1990,78.0,97.0,91.0,Asia,False,False,False,False
278,China,CHN,2000,91.0,99.0,99.0,Asia,False,False,False,False
279,China,CHN,2010,95.0,100.0,100.0,Asia,False,False,False,False
280,China,CHN,2020,97.0,100.0,100.0,Asia,False,False,False,False
281,Colombia,COL,1993,91.0,95.0,96.0,South America,False,False,False,False
282,Colombia,COL,1996,91.0,96.0,98.0,South America,False,False,False,False
283,Colombia,COL,2000,91.5,96.45,100.0,South America,False,False,False,False
284,Colombia,COL,2002,92.0,96.9,98.0,South America,False,False,False,False
285,Colombia,COL,2003,92.5,96.7,98.3,South America,False,False,False,False
286,Colombia,COL,2004,93.0,97.5,98.4,South America,False,False,False,False
287,Colombia,COL,2005,93.0,97.6,98.4,South America,False,False,False,False
288,Colombia,COL,2006,92.0,98.0,98.0,South America,False,False,False,False
289,Colombia,COL,2007,93.0,97.0,98.0,South America,False,False,False,False
290,Colombia,COL,2008,93.0,97.5,98.4,South America,False,False,False,False
291,Colombia,COL,2009,93.0,97.4,98.4,South America,False,False,False,False
292,Colombia,COL,2010,93.0,97.8,98.6,South America,False,False,False,False
293,Colombia,COL,2011,94.0,97.8,98.8,South America,False,False,False,False
294,Colombia,COL,2012,94.0,97.8,98.7,South America,False,False,False,False
295,Colombia,COL,2013,94.0,97.8,98.8,South America,False,False,False,False
296,Colombia,COL,2014,94.0,98.1,98.9,South America,False,False,False,False
297,Colombia,COL,2015,94.0,98.2,98.9,South America,False,False,False,False
298,Colombia,COL,2016,95.0,98.3,99.0,South America,False,False,False,False
299,Colombia,COL,2017,95.0,98.3,99.0,South America,False,False,False,False
300,Colombia,COL,2018,95.0,98.7,99.1,South America,False,False,False,False
301,Colombia,COL,2019,95.0,98.5,99.2,South America,False,False,False,False
302,Colombia,COL,2020,96.0,98.7,99.3,South America,False,False,False,False
303,Colombia,COL,2021,96.0,98.8,99.4,South America,False,False,False,False
304,Colombia,COL,2022,96.0,98.6,99.2,South America,False,False,False,False
305,Colombia,COL,2023,96.0,98.7,99.2,South America,False,False,False,False
307,Comoros,COM,2000,68.0,84.0,78.0,Africa,False,False,False,False
308,Comoros,COM,2012,68.0,85.0,78.59,Africa,False,False,False,False
310,Congo,COG,2005,76.0,88.0,71.0,Africa,False,False,False,False
312,Costa Rica,CRI,2000,95.0,97.0,98.0,North America,False,False,False,False
313,Costa Rica,CRI,2011,97.0,99.0,99.0,North America,False,False,False,False
314,Costa Rica,CRI,2018,97.0,74.78,99.63372,North America,False,False,False,False
316,Cote d'Ivoire,CIV,1998,36.0,54.0,40.0,Africa,False,False,True,True
317,Cote d'Ivoire,CIV,2000,49.0,71.0,52.0,Africa,False,False,True,True
318,Cote d'Ivoire,CIV,2006,46.5,65.0,38.57,Africa,False,False,True,True
319,Cote d'Ivoire,CIV,2014,44.0,59.0,47.0,Africa,False,False,True,True
320,Cote d'Ivoire,CIV,2016,50.03968,71.98823,54.73764,Africa,False,False,True,True
321,Cote d'Ivoire,CIV,2019,90.0,93.0,76.0,Africa,False,False,False,False
322,Cote d'Ivoire,CIV,2021,50.00064,76.16145,58.31827,Africa,False,False,False,True
323,Croatia,HRV,1991,97.0,100.0,100.0,Europe,False,False,False,False
324,Croatia,HRV,2001,98.0,100.0,100.0,Europe,False,False,False,False
326,Cuba,CUB,2002,100.0,100.0,100.0,North America,False,False,False,False
327,Cuba,CUB,2012,100.0,100.0,100.0,North America,False,False,False,False
328,Cuba,CUB,2019,97.65491,99.53119,99.70794,North America,False,False,False,False
329,Cyprus,CYP,1992,94.0,100.0,100.0,Europe,False,False,False,False
330,Cyprus,CYP,2001,97.0,100.0,100.0,Europe,False,False,False,False
331,Cyprus,CYP,2011,99.0,100.0,100.0,Europe,False,False,False,False
332,Democratic Republic of Congo,COD,2001,67.0,78.0,63.0,Africa,False,False,False,True
333,Democratic Republic of Congo,COD,2007,69.66666666666667,87.36,62.97,Africa,False,False,False,True
334,Democratic Republic of Congo,COD,2010,72.33333333333333,89.18,64.32,Africa,False,False,False,False
335,Democratic Republic of Congo,COD,2012,75.0,91.0,77.0,Africa,False,False,False,False
336,Democratic Republic of Congo,COD,2013,76.0,92.56,76.58,Africa,False,False,False,False
337,Democratic Republic of Congo,COD,2016,77.0,91.0,80.0,Africa,False,False,False,False
338,Democratic Republic of Congo,COD,2018,73.55303,90.81754,77.53746,Africa,False,False,False,False
341,Dominican Republic,DOM,2000,87.0,93.2,96.5,North America,False,False,False,False
342,Dominican Republic,DOM,2001,87.0,94.3,96.6,North America,False,False,False,False
343,Dominican Republic,DOM,2002,87.0,93.8,96.5,North America,False,False,False,False
344,Dominican Republic,DOM,2003,87.2,94.7,96.9,North America,False,False,False,False
345,Dominican Republic,DOM,2004,87.4,95.2,96.7,North America,False,False,False,False
346,Dominican Republic,DOM,2005,87.6,96.2,97.3,North America,False,False,False,False
347,Dominican Republic,DOM,2006,87.8,95.3,97.9,North America,False,False,False,False
348,Dominican Republic,DOM,2007,88.0,97.2,97.8,North America,False,False,False,False
349,Dominican Republic,DOM,2008,88.66666666666667,95.6,97.4,North America,False,False,False,False
350,Dominican Republic,DOM,2009,89.33333333333333,96.2,98.4,North America,False,False,False,False
351,Dominican Republic,DOM,2010,90.0,96.2,97.9,North America,False,False,False,False
352,Dominican Republic,DOM,2011,90.0,96.5,98.6,North America,False,False,False,False
353,Dominican Republic,DOM,2012,90.0,96.7,98.0,North America,False,False,False,False
354,Dominican Republic,DOM,2013,91.0,97.6,98.3,North America,False,False,False,False
355,Dominican Republic,DOM,2014,92.0,98.0,98.2,North America,False,False,False,False
356,Dominican Republic,DOM,2015,92.0,98.1,98.1,North America,False,False,False,False
357,Dominican Republic,DOM,2016,94.0,98.1,98.8,North America,False,False,False,False
358,Dominican Republic,DOM,2017,94.0,97.8,98.4,North America,False,False,False,False
359,Dominican Republic,DOM,2018,94.0,98.0,99.1,North America,False,False,False,False
360,Dominican Republic,DOM,2019,94.0,98.3,99.1,North America,False,False,False,False
361,Dominican Republic,DOM,2020,94.0,98.6,99.1,North America,False,False,False,False
362,Dominican Republic,DOM,2021,94.0,98.7,99.0,North America,False,False,False,False
363,Dominican Republic,DOM,2022,94.0,98.1,98.9,North America,False,False,False,False
364,Dominican Republic,DOM,2023,94.0,98.3,98.8,North America,False,False,False,False
413,East Timor,TLS,2001,38.0,87.25,83.71,Asia,False,False,False,False
414,East Timor,TLS,2007,51.0,87.25,83.71,Asia,False,False,False,False
415,East Timor,TLS,2009,54.5,87.25,83.71,Asia,False,False,False,False
416,East Timor,TLS,2010,58.0,80.0,79.0,Asia,False,False,False,False
417,East Timor,TLS,2016,65.77913,89.55101,88.72531,Asia,False,False,False,False
467,Ecuador,ECU,1990,88.0,97.0,96.0,South America,False,False,False,False
468,Ecuador,ECU,2001,91.0,97.6,97.3,South America,False,False,False,False
469,Ecuador,ECU,2003,91.25,96.5,97.4,South America,False,False,False,False
470,Ecuador,ECU,2005,91.5,98.3,98.2,South America,False,False,False,False
471,Ecuador,ECU,2006,91.75,98.3,98.1,South America,False,False,False,False
472,Ecuador,ECU,2007,92.0,98.2,98.6,South America,False,False,False,False
473,Ecuador,ECU,2008,92.0,98.4,98.5,South America,False,False,False,False
474,Ecuador,ECU,2009,92.0,98.7,98.9,South America,False,False,False,False
