Price,Date,Close,High,Low,Open,Volume
Ticker,,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
1041,2024-02-22,16041.6201171875,16061.8203125,15869.240234375,15904.48046875,5653930000
1042,2024-02-23,15996.8203125,16134.2197265625,15954.5,16094.7998046875,5077910000
1043,2024-02-26,15976.25,16054.900390625,15973.900390625,16014.4501953125,5417630000
1044,2024-02-27,16035.2998046875,16046.099609375,15940.509765625,16013.98046875,5423020000
1045,2024-02-28,15947.740234375,16003.5595703125,15924.7197265625,15969.1396484375,5581690000
1046,2024-02-29,16091.919921875,16115.9599609375,15931.7001953125,16059.33984375,6265340000
1047,2024-03-01,16274.9404296875,16302.240234375,16096.599609375,16109.830078125,5457910000
1048,2024-03-04,16207.509765625,16289.0595703125,16199.0595703125,16264.2099609375,5725470000
1049,2024-03-05,15939.58984375,16087.5703125,15862.6298828125,16077.740234375,6356800000
1050,2024-03-06,16031.5400390625,16128.5595703125,15956.66015625,16092.0,5511370000
1051,2024-03-07,16273.3798828125,16309.01953125,16096.009765625,16147.3203125,5072790000
1052,2024-03-08,16085.1103515625,16449.69921875,16059.5,16322.099609375,5411790000
1053,2024-03-11,16019.26953125,16085.9501953125,15978.0400390625,16052.6298828125,4917620000
1054,2024-03-12,16265.6396484375,16275.4501953125,15992.98046875,16116.98046875,5100330000
1055,2024-03-13,16177.76953125,16233.2998046875,16143.33984375,16220.1103515625,4839000000
1056,2024-03-14,16128.5302734375,16245.3203125,16039.6796875,16209.1904296875,5450980000
1057,2024-03-15,15973.169921875,16055.330078125,15925.91015625,16043.580078125,8261950000
1058,2024-03-18,16103.4501953125,16247.58984375,16094.169921875,16154.919921875,5025040000
1059,2024-03-19,16166.7900390625,16175.58984375,15951.8603515625,16031.9296875,4758740000
1060,2024-03-20,16369.41015625,16377.4404296875,16127.48046875,16185.759765625,5298380000
1061,2024-03-21,16401.83984375,16538.859375,16393.900390625,16517.240234375,5134740000
1062,2024-03-22,16428.8203125,16467.619140625,16361.0,16387.830078125,4339930000
1063,2024-03-25,16384.470703125,16441.169921875,16315.7197265625,16335.2998046875,4636940000
1064,2024-03-26,16315.7001953125,16476.380859375,16312.9501953125,16446.849609375,5144260000
1065,2024-03-27,16399.51953125,16431.8203125,16279.169921875,16424.759765625,4768930000
1066,2024-03-28,16379.4599609375,16420.919921875,16347.3798828125,16377.23046875,5174450000
1067,2024-04-01,16396.830078125,16490.650390625,16327.8896484375,16397.05078125,4798390000
1068,2024-04-02,16240.4501953125,16251.41015625,16137.240234375,16199.240234375,4710280000
1069,2024-04-03,16277.4599609375,16340.740234375,16169.3095703125,16178.7998046875,5151500000
1070,2024-04-04,16049.080078125,16468.0390625,16046.5595703125,16418.5703125,5368700000
1071,2024-04-05,16248.51953125,16326.5,16080.48046875,16095.400390625,4578130000
1072,2024-04-08,16253.9599609375,16323.599609375,16220.7197265625,16285.1796875,4386700000
1073,2024-04-09,16306.6396484375,16348.1796875,16141.150390625,16328.759765625,4869190000
1074,2024-04-10,16170.3603515625,16200.099609375,16092.01953125,16104.009765625,5308250000
1075,2024-04-11,16442.19921875,16464.599609375,16154.650390625,16236.2001953125,4714750000
1076,2024-04-12,16175.08984375,16341.4599609375,16125.330078125,16293.0302734375,4552740000
1077,2024-04-15,15885.01953125,16295.26953125,15863.8798828125,16276.4697265625,4910550000
1078,2024-04-16,15865.25,15965.7900390625,15822.01953125,15856.3798828125,5001860000
1079,2024-04-17,15683.3701171875,15957.0302734375,15654.509765625,15942.2900390625,4991470000
1080,2024-04-18,15601.5,15786.1201171875,15587.5,15705.6904296875,4932540000
1081,2024-04-19,15282.009765625,15576.7001953125,15222.7802734375,15547.099609375,5316010000
1082,2024-04-22,15451.3095703125,15539.0,15265.66015625,15396.1298828125,4616730000
1083,2024-04-23,15696.6396484375,15730.349609375,15510.58984375,15525.5498046875,4951670000
1084,2024-04-24,15712.75,15839.0,15634.4404296875,15805.599609375,4735870000
1085,2024-04-25,15611.759765625,15644.509765625,15343.91015625,15375.259765625,4743640000
1086,2024-04-26,15927.900390625,15981.0,15770.7197265625,15821.33984375,4694400000
1087,2024-04-29,15983.080078125,16021.490234375,15885.8896484375,16007.0,4972520000
1088,2024-04-30,15657.8203125,15979.3603515625,15655.669921875,15920.8896484375,5229400000
1089,2024-05-01,15605.48046875,15926.2197265625,15557.6396484375,15646.08984375,5277790000
1090,2024-05-02,15840.9599609375,15862.7900390625,15604.73046875,15758.1103515625,4901610000
1091,2024-05-03,16156.330078125,16204.7099609375,16068.33984375,16147.48046875,4887310000
1092,2024-05-06,16349.25,16350.080078125,16197.8603515625,16208.5400390625,4460130000
1093,2024-05-07,16332.5595703125,16397.390625,16303.83984375,16358.33984375,5041870000
1094,2024-05-08,16302.759765625,16341.650390625,16226.0703125,16226.0703125,4530190000
