,entity,code,year,illiteracy_rate,literacy_rate
498,El Salvador,SLV,2019,11.0,89.0
499,El Salvador,SLV,2020,10.0,90.0
500,El Salvador,SLV,2023,10.0,90.0
501,Equatorial Guinea,GNQ,1950,77.5,22.5
502,Equatorial Guinea,GNQ,2000,12.0,88.0
503,Eritrea,ERI,1950,97.0,3.0
504,Eritrea,ERI,2002,47.0,53.0
505,Eritrea,ERI,2008,35.0,65.0
506,Estonia,EST,1989,0.0,100.0
507,Estonia,EST,2000,0.0,100.0
508,Estonia,EST,2011,0.0,100.0
509,Eswatini,SWZ,1950,82.5,17.5
510,Eswatini,SWZ,1976,45.0,55.0
511,Eswatini,SWZ,1986,33.0,67.0
512,Eswatini,SWZ,2000,18.0,82.0
513,Eswatini,SWZ,2022,9.252983,90.74702
514,Ethiopia,ETH,1950,97.0,3.0
515,Ethiopia,ETH,1994,73.0,27.0
516,Ethiopia,ETH,2004,64.0,36.0
517,Ethiopia,ETH,2007,61.0,39.0
518,Ethiopia,ETH,2016,52.50841,47.49159
519,Europe and Central Asia (WB),,1994,4.061943,95.93806
520,Europe and Central Asia (WB),,1995,3.9324188,96.06758
521,Europe and Central Asia (WB),,1996,3.7786484,96.22135
522,Europe and Central Asia (WB),,1997,3.6585999,96.3414
523,Europe and Central Asia (WB),,1998,3.5137634,96.48624
524,Europe and Central Asia (WB),,1999,3.407547,96.59245
525,Europe and Central Asia (WB),,2000,3.3474808,96.65252
526,Europe and Central Asia (WB),,2001,3.2472,96.7528
527,Europe and Central Asia (WB),,2002,3.0888367,96.91116
528,Europe and Central Asia (WB),,2003,2.9948273,97.00517
529,Europe and Central Asia (WB),,2004,2.9087677,97.09123
530,Europe and Central Asia (WB),,2005,2.789833,97.21017
531,Europe and Central Asia (WB),,2006,2.7298431,97.27016
532,Europe and Central Asia (WB),,2007,2.6482162,97.35178
533,Europe and Central Asia (WB),,2008,2.5267563,97.47324
534,Europe and Central Asia (WB),,2009,2.2692337,97.73077
535,Europe and Central Asia (WB),,2010,2.1053467,97.89465
536,Europe and Central Asia (WB),,2011,1.9648438,98.03516
537,Europe and Central Asia (WB),,2012,1.8673401,98.13266
538,Europe and Central Asia (WB),,2013,1.803772,98.19623
539,Europe and Central Asia (WB),,2014,1.7612915,98.23871
540,Europe and Central Asia (WB),,2015,1.7181473,98.28185
541,Europe and Central Asia (WB),,2016,1.661087,98.33891
542,Europe and Central Asia (WB),,2017,1.5820236,98.41798
