,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag,illiteracy_rate_norm,illiteracy_burden_index
336,Democratic Republic of Congo,COD,2012,25.0,75.0,False,False,False,0.2808988764044944,0.2808988764044944
337,Democratic Republic of Congo,COD,2016,23.0,77.0,False,False,False,0.2584269662921348,0.2584269662921348
338,Democratic Republic of Congo,COD,2018,26.446968,73.55303,False,False,False,0.2971569438202247,0.2971569438202247
343,Dominican Republic,DOM,2002,13.0,87.0,False,False,False,0.14606741573033707,0.14606741573033707
344,Dominican Republic,DOM,2007,12.0,88.0,False,False,False,0.1348314606741573,0.1348314606741573
345,Dominican Republic,DOM,2010,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
346,Dominican Republic,DOM,2011,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
347,Dominican Republic,DOM,2012,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
348,Dominican Republic,DOM,2013,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
349,Dominican Republic,DOM,2014,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
350,Dominican Republic,DOM,2015,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
351,Dominican Republic,DOM,2016,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
401,East Timor,TLS,2001,62.0,38.0,False,False,False,0.696629213483146,0.696629213483146
402,East Timor,TLS,2007,49.0,51.0,False,False,False,0.550561797752809,0.550561797752809
403,East Timor,TLS,2010,42.0,58.0,False,False,False,0.47191011235955055,0.47191011235955055
404,East Timor,TLS,2016,34.22087,65.77913,False,False,False,0.38450415730337073,0.38450415730337073
455,Ecuador,ECU,1990,12.0,88.0,False,False,False,0.1348314606741573,0.1348314606741573
456,Ecuador,ECU,2001,9.0,91.0,False,False,False,0.10112359550561797,0.10112359550561797
457,Ecuador,ECU,2007,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
458,Ecuador,ECU,2008,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
459,Ecuador,ECU,2009,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
460,Ecuador,ECU,2010,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
461,Ecuador,ECU,2011,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
462,Ecuador,ECU,2012,8.0,92.0,False,False,False,0.0898876404494382,0.0898876404494382
463,Ecuador,ECU,2013,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
464,Ecuador,ECU,2014,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
465,Ecuador,ECU,2015,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
466,Ecuador,ECU,2016,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
467,Ecuador,ECU,2017,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
468,Ecuador,ECU,2020,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
469,Ecuador,ECU,2021,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
470,Ecuador,ECU,2022,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
478,Egypt,EGY,1996,44.0,56.0,False,False,False,0.4943820224719101,0.4943820224719101
479,Egypt,EGY,2005,33.0,67.0,False,False,False,0.3707865168539326,0.3707865168539326
480,Egypt,EGY,2006,34.0,66.0,False,False,False,0.38202247191011235,0.38202247191011235
481,Egypt,EGY,2010,28.0,72.0,False,False,False,0.3146067415730337,0.3146067415730337
482,Egypt,EGY,2012,26.0,74.0,False,False,False,0.29213483146067415,0.29213483146067415
483,Egypt,EGY,2013,28.0,72.0,False,False,False,0.3146067415730337,0.3146067415730337
484,Egypt,EGY,2017,29.0,71.0,False,False,False,0.3258426966292135,0.3258426966292135
486,El Salvador,SLV,1992,26.0,74.0,False,False,False,0.29213483146067415,0.29213483146067415
487,El Salvador,SLV,2006,16.0,84.0,False,False,False,0.1797752808988764,0.1797752808988764
488,El Salvador,SLV,2007,18.0,82.0,False,False,False,0.20224719101123595,0.20224719101123595
489,El Salvador,SLV,2008,16.0,84.0,False,False,False,0.1797752808988764,0.1797752808988764
490,El Salvador,SLV,2009,16.0,84.0,False,False,False,0.1797752808988764,0.1797752808988764
491,El Salvador,SLV,2010,16.0,84.0,False,False,False,0.1797752808988764,0.1797752808988764
492,El Salvador,SLV,2011,15.0,85.0,False,False,False,0.16853932584269662,0.16853932584269662
493,El Salvador,SLV,2013,13.0,87.0,False,False,False,0.14606741573033707,0.14606741573033707
494,El Salvador,SLV,2015,12.0,88.0,False,False,False,0.1348314606741573,0.1348314606741573
495,El Salvador,SLV,2016,12.0,88.0,False,False,False,0.1348314606741573,0.1348314606741573
496,El Salvador,SLV,2017,12.0,88.0,False,False,False,0.1348314606741573,0.1348314606741573
497,El Salvador,SLV,2018,11.0,89.0,False,False,False,0.12359550561797752,0.12359550561797752
498,El Salvador,SLV,2019,11.0,89.0,False,False,False,0.12359550561797752,0.12359550561797752
499,El Salvador,SLV,2020,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
500,El Salvador,SLV,2023,10.0,90.0,False,False,False,0.11235955056179775,0.11235955056179775
502,Equatorial Guinea,GNQ,2000,12.0,88.0,False,False,False,0.1348314606741573,0.1348314606741573
504,Eritrea,ERI,2002,47.0,53.0,False,False,False,0.5280898876404494,0.5280898876404494
505,Eritrea,ERI,2008,35.0,65.0,False,False,False,0.3932584269662921,0.3932584269662921
507,Estonia,EST,2000,0.0,100.0,False,False,False,0.0,0.0
508,Estonia,EST,2011,0.0,100.0,False,False,False,0.0,0.0
512,Eswatini,SWZ,2000,18.0,82.0,False,False,False,0.20224719101123595,0.20224719101123595
513,Eswatini,SWZ,2022,9.252983,90.74702,False,False,False,0.10396610112359551,0.10396610112359551
515,Ethiopia,ETH,1994,73.0,27.0,False,True,True,0.8202247191011236,0.8202247191011236
516,Ethiopia,ETH,2004,64.0,36.0,False,True,True,0.7191011235955056,0.7191011235955056
517,Ethiopia,ETH,2007,61.0,39.0,False,False,False,0.6853932584269663,0.6853932584269663
518,Ethiopia,ETH,2016,52.50841,47.49159,False,False,False,0.5899821348314607,0.5899821348314607
582,Gabon,GAB,1993,28.0,72.0,False,False,False,0.3146067415730337,0.3146067415730337
583,Gabon,GAB,2021,11.141663,88.85834,False,False,False,0.12518722471910113,0.12518722471910113
585,Gambia,GMB,2000,63.0,37.0,False,True,True,0.7078651685393258,0.7078651685393258
586,Gambia,GMB,2015,49.0,51.0,False,False,False,0.550561797752809,0.550561797752809
587,Gambia,GMB,2018,46.8398,53.1602,False,False,False,0.5262898876404494,0.5262898876404494
588,Gambia,GMB,2021,48.3626,51.6374,False,False,False,0.5434,0.5434
589,Georgia,GEO,2002,0.0,100.0,False,False,False,0.0,0.0
590,Georgia,GEO,2014,0.0,100.0,False,False,False,0.0,0.0
591,Georgia,GEO,2017,1.0,99.0,False,False,False,0.011235955056179775,0.011235955056179775
592,Georgia,GEO,2018,0.34633636,99.65366,False,False,False,0.003891419775280899,0.003891419775280899
593,Georgia,GEO,2022,0.0,100.0,False,False,False,0.0,0.0
594,Georgia,GEO,2023,0.44452667,99.55547,False,False,False,0.004994681685393259,0.004994681685393259
601,Ghana,GHA,2000,42.0,58.0,False,False,False,0.47191011235955055,0.47191011235955055
