country,year,education_development_index,education_spend_efficiency,illiteracy_burden_index,gender_gap_pct,log_gdp_norm,regional_convergence_index,education_development_index_norm,education_spend_efficiency_norm,illiteracy_burden_index_norm,gender_gap_pct_norm,log_gdp_norm_norm,regional_convergence_index_norm
Bangladesh,2018,0.7000735885926556,0.27640689227659465,0.29213483146067415,-3.260869565217391,0.4236666963160609,-0.6637747180451514,0.7037835104122061,0.4640929058007124,0.3023255813953489,0.30156646592642855,0.38283820867682655,0.48634124242365934
Bangladesh,2019,0.7125533993731378,0.2767120291643882,0.2808988764044944,-2.127659574468085,0.4358413702087496,0.2553983198510954,0.7165238566640806,0.4644189677129667,0.29069767441860467,0.31495378165472054,0.3958753583614954,0.5085459210428347
Bangladesh,2020,0.7131494892233874,0.27269568228244223,0.2808988764044944,-3.225806451612903,0.44045380694094516,4.728605962904746,0.717132390817602,0.46012719639002553,0.29069767441860467,0.3019806883354014,0.4008145484062333,0.6166062470269147
Bangladesh,2021,0.7197832101536199,0.26868413574398176,0.2696629213483146,-2.127659574468085,0.45109907440963815,-12.997739374153126,0.7239046009957922,0.4558405545982521,0.27906976744186046,0.31495378165472054,0.412213945765536,0.18838676595645493
Bangladesh,2022,0.7274343729443177,0.26579602291454474,0.23595505617977527,-2.1739130434782608,0.46163835002977294,6.537180116364686,0.7317154937166497,0.45275438694811365,0.24418604651162792,0.3144073606045862,0.423499842623126,0.6602963969560711
Belize,2015,0.8860781202630305,0.34348441714841405,0.10206698314606741,-0.2564394022254037,0.5425937031146164,0.5540351416009954,0.8936711761454492,0.5357703296190615,0.10562745930232557,0.3370596715140198,0.5101902185005565,0.5157601607750896
Benin,1992,0.17183030220949583,-0.06133468482651347,0.8202247191011236,50.90909090909091,0.2331649870360093,-13.65593429704748,0.16451232336224433,0.10319040963142447,0.8488372093023256,0.9415099625233376,0.17884101573675198,0.17248659685979373
Benin,2002,0.25560472855318656,-0.007650936481632009,0.7303370786516854,44.06779661016949,0.26325566503481856,10.470121223079797,0.25003567122742204,0.16055556718049574,0.7558139534883721,0.860689490132986,0.21106337147633664,0.755305377531294
Benin,2017,0.3753917219029331,0.08587493409019703,0.6868403370786517,23.674370832602918,0.28951678781273604,8.149330440343512,0.37232340447843765,0.2604950547475662,0.7107998837209303,0.6197692441993539,0.23918487941658478,0.6992414903757826
Benin,2019,0.4706663625290214,0.1674694646522038,0.5730530337078651,17.800837777082773,0.3031968978768176,-1.6929447969862963,0.46958705149603863,0.34768500040415173,0.5930432558139535,0.5503815383931113,0.2538341130782175,0.4614793394900585
Benin,2021,0.4340044588885772,0.12099470775107601,0.6310767415730337,16.60121697120068,0.3130097511375012,0.0555173551021273,0.4321597735630579,0.29802319708593805,0.653091046511628,0.5362096703248175,0.264342126510105,0.5037173497060387
Benin,2022,0.49252184731880977,0.17315801122550978,0.5463059550561797,8.930254928578524,0.3193638360933,-0.37610333612125224,0.491898803542789,0.35376364395017457,0.5653631395348837,0.4455878159089181,0.27114634627057016,0.49329058745468196
Bolivia,2001,0.8193664116008202,0.3670556904448875,0.14606741573033707,1.731160896130349,0.45231072115593274,0.40643129995349736,0.8255667567467209,0.5609580232502448,0.15116279069767444,0.36054043232000377,0.4135114277462132,0.5121944601598499
Bolivia,2007,0.8450532919939635,0.3700503882904618,0.10112359550561797,0.7014028056112254,0.47500290370350173,0.06702949835380123,0.8517898907425462,0.5641580850756522,0.10465116279069768,0.34837525835041394,0.4378111653122559,0.5039954512501249
Bolivia,2008,0.8431799558874743,0.36044851061561445,0.10112359550561797,0.40241448692153486,0.48273144527185985,0.11545490354473342,0.8498774458295082,0.5538977503828151,0.10465116279069768,0.3448431230409437,0.44608721066336626,0.5051652751189026
Bolivia,2009,0.8428816197809851,0.3571940175688698,0.10112359550561797,0.6018054162487548,0.48568760221211527,-0.48741886487774466,0.8495728814925189,0.550420077676925,0.10465116279069768,0.34719865233035285,0.44925278707725497,0.49060151212342695
Bolivia,2011,0.8457915886313508,0.3495376567424925,0.0898876404494382,0.5035246727089627,0.49625393188885836,0.060975545629156136,0.8525436004711922,0.5422386753233476,0.09302325581395349,0.3460376006678022,0.46056765454947407,0.5038492044945259
Bolivia,2012,0.8568586145184383,0.3544710934705495,0.06741573033707865,0.30150753768843935,0.5023875210478888,-0.19477455165354168,0.863841667746416,0.5475104267171815,0.06976744186046512,0.34365104637413907,0.4671357581944155,0.4976709894220052
Bolivia,2015,0.84801492473784,0.32395330892781493,0.0898876404494382,0.0,0.5240616158100251,-0.008297033983066804,0.8548133521789076,0.5148998588578771,0.09302325581395349,0.3400891499609014,0.4903452848055028,0.5021757705446668
Bolivia,2020,0.8692890637696861,0.3597150839157467,0.06741573033707865,0.10040160642569709,0.5095739798539394,0.06528270061531805,0.8765316219703159,0.5531140283163468,0.06976744186046512,0.34127525669824116,0.47483131866552203,0.5039532534475386
Botswana,1991,0.74047070773517,0.21873911565501758,0.348314606741573,-6.976744186046512,0.5217315920801524,-6.847274080594243,0.7450239822836854,0.4024705118100954,0.36046511627906974,0.2576685236545875,0.48785019800458057,0.3369649983145747
Botswana,2003,0.8165753588979607,0.2531644638140953,0.21348314606741572,-4.3478260869565215,0.5634108950838654,-5.464767534192426,0.8227174364751929,0.43925660782075926,0.22093023255813954,0.288725571248271,0.5324821377839608,0.37036253314873246
Brazil,2000,0.7551399702046975,0.18980902032316394,0.15730337078651685,-3.225806451612903,0.5653309498815335,-0.4914150519126348,0.7599994884358857,0.3715565103145261,0.16279069767441862,0.3019806883354014,0.5345382127162839,0.4905049752961339
Brazil,2004,0.7960108501334984,0.21935877082937028,0.12359550561797752,-2.298850574712646,0.5766520793041281,-0.4666836182964518,0.801723611587342,0.4031326603708568,0.12790697674418605,0.3129313956990508,0.5466613513056887,0.49110241833743074
Brazil,2006,0.8105578406144797,0.2250854637295464,0.11235955056179775,-1.5495867768595042,0.5854723768849333,-0.15922224462791756,0.8165742931329529,0.4092520661609161,0.11627906976744186,0.3217829158122883,0.5561064946284463,0.4985298348397092
Brazil,2007,0.8139286808807026,0.21964103517692746,0.11235955056179775,-1.6494845360824684,0.5942876457037751,0.06702949835380123,0.8200155049355073,0.40343428123876046,0.11627906976744186,0.32060276133590354,0.5655462529427,0.5039954512501249
Brazil,2008,0.8165995211469257,0.21506754859596033,0.11235955056179775,-1.337448559670779,0.6015319725509654,0.11545490354473342,0.8227421031487069,0.39854716388286593,0.11627906976744186,0.3242890367560902,0.5733037809310432,0.5051652751189026
Brazil,2009,0.8197953614131486,0.22010850555800476,0.11235955056179775,-1.3347022587268964,0.5996868558551438,-0.48741886487774466,0.8260046615539225,0.4039338088031873,0.11627906976744186,0.32432148052037113,0.5713279528504609,0.49060151212342695
Brazil,2010,0.8203662016793715,0.20908783864070302,0.11235955056179775,-1.0309278350515463,0.6112783630386684,0.6223797201104674,0.8265874189990566,0.3921573901756097,0.11627906976744186,0.3279101570702777,0.5837406232475939,0.5174111767846966
Brazil,2011,0.8262041655380565,0.20935593467860403,0.10112359550561797,-1.2257405515832365,0.6168482308594525,0.060975545629156136,0.8325472594384565,0.39244387112983947,0.10465116279069768,0.32560871306132444,0.5897050705209611,0.5038492044945259
Brazil,2012,0.8240084084665091,0.20518891402928174,0.10112359550561797,-0.8146639511201601,0.6188194944372274,-0.19477455165354168,0.8303056625209563,0.3879910934563632,0.10465116279069768,0.33046501708602977,0.5918159819554613,0.4976709894220052
Brazil,2013,0.8219876513949619,0.19928461685307808,0.10112359550561797,-0.9155645981688766,0.6227030345418838,0.2415506423501375,0.8282427190007949,0.38168190402432994,0.10465116279069768,0.3292730148708561,0.595974639024808,0.5082113994502143
Brazil,2014,0.824675615253647,0.2025210096176735,0.0898876404494382,-0.9146341463414547,0.6221546056359735,0.030239744385467227,0.8309867982880972,0.3851402352056583,0.09302325581395349,0.3292840068780616,0.5953873584289765,0.5031067125364491
Brazil,2015,0.8224798581820996,0.20827615235859076,0.0898876404494382,-0.7099391480730253,0.6142037058235088,-0.008297033983066804,0.8287452013705968,0.39129004180875093,0.09302325581395349,0.3317021964388593,0.5868732025758856,0.5021757705446668
Brazil,2016,0.8295857504933637,0.22277456532578976,0.07865168539325842,-0.8105369807497438,0.6068111851675739,-0.06466230135036238,0.835999440242201,0.40678269591203264,0.08139534883720931,0.33051377155854683,0.578956982462893,0.500814141563426
Brazil,2017,0.8314579218743953,0.2235883723207216,0.07865168539325842,-0.7085020242915009,0.6078695495536737,-0.004714675340706798,0.8379106961143249,0.4076523104214161,0.08139534883720931,0.33171917407756785,0.580090323285335,0.5022623104224403
Brazil,2018,0.832805093255427,0.22297664346949464,0.07865168539325842,-0.7092198581560312,0.6098284497859323,-0.21837874541827723,0.8392859917944326,0.4069986317382045,0.08139534883720931,0.33171069385884105,0.58218799553269,0.4971007773781334
Brunei,1991,0.8350609062415354,-0.11556429366127385,0.1348314606741573,0.0,0.9506251999028092,-20.79609750098983,0.8415888983871708,0.04524195874000775,0.13953488372093023,0.3400891499609014,0.9471274002744136,0.0
Brunei,2001,0.8629795108926981,-0.05683456115509444,0.07865168539325842,0.0,0.9198140720477925,-5.256719930237242,0.870090347357959,0.10799913315316549,0.08139534883720931,0.3400891499609014,0.9141335567152401,0.37538838790388007
Brunei,2011,0.8793806736833959,-0.02254056801762283,0.0449438202247191,-1.0101010101010102,0.9019212417010187,-4.969537007751432,0.8868339099457545,0.14464486635866736,0.046511627906976744,0.32815619733069434,0.8949731660904561,0.3823259331057148
Bulgaria,2001,0.9029164183724798,0.3558094409474184,0.02247191011235955,0.0,0.5471069774250614,-0.5059289460184528,0.9108609999320547,0.5489405525230915,0.023255813953488372,0.3400891499609014,0.5150232212792656,0.49015435975276456
Bulgaria,2011,0.9317683318500173,0.29122815323129536,0.02247191011235955,0.0,0.6405401786187219,-0.6632056681315054,0.9403152420034036,0.4799305474698484,0.023255813953488372,0.3400891499609014,0.6150753984641548,0.4863549890958634
Burundi,2008,0.3944109043067755,0.30553743317693793,0.5842696629213483,14.925373134328357,0.08887347112983757,1.300127094817583,0.39173964191302063,0.4952210985919892,0.6046511627906977,0.5164118828550058,0.024327629367837986,0.5337836790447771
Burundi,2014,0.5257829973300313,0.43321925429605146,0.42696629213483145,11.76470588235294,0.09256374303397985,-2.463073326415829,0.5258543318222112,0.6316588103850527,0.4418604651162791,0.4790729511833131,0.028279326769796567,0.4428751640123056
